Model,Chapter,Question,Answer,Question Score,Answer Score,,,,Question Score,Answer Score
No Agent,Chapter 7.1,What is the main difference between a wired link and a wireless link?,"The main difference between a wired link and a wireless link is that wireless links are prone to impairments such as decreasing signal strength, interference from other sources, and multipath propagation.",2,2,,,,,
No Agent,Chapter 7.1,What is the purpose of the signal-to-noise ratio (SNR) in wireless communication?,"The signal-to-noise ratio (SNR) is a relative measure of the strength of the received signal and background noise, and a larger SNR makes it easier for the receiver to extract the transmitted signal from the background noise.",3,3,,,,,
No Agent,Chapter 7.1,What is the concept of CDMA in wireless communication?,"CDMA is a channel partitioning protocol that encodes each bit being sent by multiplying it by a signal (the code) that changes at a much faster rate than the original sequence of data bits, allowing multiple senders to transmit data simultaneously without interfering with each other.",3,2,,,,,
No Agent,Chapter 7.1,What is the advantage of using adaptive modulation and coding in wireless communication?,"The advantage of using adaptive modulation and coding is that it allows the selection of a modulation technique that provides the highest transmission rate possible subject to a constraint on the bit error rate, for given channel characteristics.",3,3,,,,,
No Agent,Chapter 7.2,What is the primary purpose of the IEEE 802.11 wireless LAN standard?,The primary purpose of the IEEE 802.11 wireless LAN standard is to provide a widely adopted and compatible technology for wireless local area networks (WLANs).,3,3,,,,,
No Agent,Chapter 7.2,What are the two main frequency ranges used by 802.11 devices?,The two main frequency ranges used by 802.11 devices are 2.4 GHz to 2.485 GHz (referred to as the 2.4 GHz range) and 5.1 GHz to 5.8 GHz (referred to as the 5 GHz range).,2,2,,,,,
No Agent,Chapter 7.2,What is the purpose of the RTS (Request to Send) and CTS (Clear to Send) control frames in the 802.11 protocol?,"The RTS and CTS control frames are used to reserve access to the channel and prevent collisions, especially in the presence of hidden terminals.",4,3,,,,,
No Agent,Chapter 7.2,What is the difference between the CSMA/CD (Carrier Sense Multiple Access with Collision Detection) protocol used in Ethernet and the CSMA/CA (Carrier Sense Multiple Access with Collision Avoidance) protocol used in 802.11?,"The main difference between CSMA/CD and CSMA/CA is that CSMA/CD uses collision detection, whereas CSMA/CA uses collision avoidance techniques, such as random backoff and link-layer acknowledgments.",3,1,,,,,
No Agent,Chapter 7.2,What is the purpose of the Distributed Inter-frame Space (DIFS) in the 802.11 CSMA/CA protocol?,"The purpose of the DIFS is to provide a short period of time after a station senses the channel idle, during which it waits before transmitting its frame to ensure that other stations have completed their transmissions.",3,3,,,,,
No Agent,Chapter 8.1,What is the main goal of network security?,"The main goal of network security is to ensure that only the sender and intended receiver can understand the contents of the transmitted message, and that the message is not altered, either maliciously or by accident, in transit.",2,4,,,,,
No Agent,Chapter 8.1,What are the four desirable properties of secure communication?,"The four desirable properties of secure communication are: (1) Confidentiality, (2) Message integrity, (3) End-point authentication, and (4) Operational security.",2,2,,,,,
No Agent,Chapter 8.1,What is the purpose of a key in a cryptographic system?,"The purpose of a key in a cryptographic system is to provide secret information that prevents an intruder from decrypting the transmitted data, even if the encryption technique itself is known.",3,3,,,,,
No Agent,Chapter 8.1,What is the main difference between a symmetric key system and a public key system?,"The main difference between a symmetric key system and a public key system is that in a symmetric key system, Alice's and Bob's keys are identical and are secret, whereas in a public key system, a pair of keys is used, with one key being known to both Bob and Alice, and the other key being known only by either Bob or Alice.",2,3,,,,,
No Agent,Chapter 8.1,What is the purpose of the Initialization Vector (IV) in the Cipher Block Chaining (CBC) technique?,"The purpose of the Initialization Vector (IV) in the CBC technique is to provide a random k-bit string that is used to encrypt the first block of the message, and then the subsequent blocks are encrypted using the previous block's ciphertext and the IV, thereby ensuring that identical plaintext blocks produce different ciphertext blocks.",3,4,,,,,
No Agent,Chapter 8.2,What is the main difficulty with symmetric key encryption systems?,"The main difficulty with symmetric key encryption systems is that the two communicating parties must somehow agree on the shared key, but to do so requires (presumably secure) communication.",2,3,,,,,
No Agent,Chapter 8.2,What is the purpose of the public key in public key cryptography?,"The purpose of the public key in public key cryptography is to allow anyone to send an encrypted message to the recipient, while the private key is kept secret and used for decryption.",3,4,,,,,
No Agent,Chapter 8.2,How does the RSA algorithm work?,"The RSA algorithm works by using two large prime numbers, p and q, to generate the public and private keys. The public key is used for encryption and is a pair of numbers (n, e), while the private key is used for decryption and is a pair of numbers (n, d). The encryption and decryption algorithms use modular arithmetic to ensure that the original message is recovered.",1,4,,,,,
No Agent,Chapter 8.2,What is the purpose of a session key in RSA?,"The purpose of a session key in RSA is to use a symmetric key cipher (e.g., with DES or AES) to encrypt a large amount of data, and the session key is encrypted using the recipient's public key.",3,3,,,,,
No Agent,Chapter 8.2,Why does RSA rely on the difficulty of factoring large numbers?,"RSA relies on the difficulty of factoring large numbers because if one knew the prime factors p and q, they could easily compute the secret key, d, given the public value e. Therefore, the security of RSA is based on the assumption that there are no known algorithms for quickly factoring a number.",1,3,,,,,
No Agent,Chapter 9.1,What is the primary characteristic of video that affects its transmission over the Internet?,The high bit rate of video is its primary characteristic that affects its transmission over the Internet.,3,3,,,,,
No Agent,Chapter 9.1,What is the trade-off between video quality and bit rate in video compression?,"The trade-off is that higher bit rates result in better image quality, but also require more bandwidth and storage.",3,2,,,,,
No Agent,Chapter 9.1,What is the basic encoding technique used for digital audio?,The basic encoding technique used for digital audio is pulse code modulation (PCM).,2,2,,,,,
No Agent,Chapter 9.1,What are the three key distinguishing features of streaming stored video applications?,"The three key distinguishing features are streaming, interactivity, and continuous playout.",2,2,,,,,
No Agent,Chapter 9.1,What is the primary performance measure for streaming video applications?,"The primary performance measure for streaming video applications is average throughput, which must be at least as large as the bit rate of the video itself.",2,3,,,,,
No Agent,Chapter 9.2,What is a common characteristic of all three forms of video streaming?,The extensive use of client-side application buffering to mitigate the effects of varying end-to-end delays and varying amounts of available bandwidth between server and client.,1,3,,,,,
No Agent,Chapter 9.2,What is the main advantage of using HTTP streaming over UDP streaming?,"HTTP streaming allows the video to traverse firewalls and NATs more easily and obviates the need for a media control server, reducing the cost of a large-scale deployment over the Internet.",2,3,,,,,
No Agent,Chapter 9.2,What is prefetching in the context of streaming stored video?,"Prefetching is the process of downloading video at a rate higher than the consumption rate, thereby building up a reserve of video in the client application buffer.",3,4,,,,,
No Agent,Chapter 9.2,What happens to the client application buffer when the user pauses the video during streaming?,"The client application buffer does not remove bits, and if it becomes full, it will cause back pressure all the way back to the server, potentially forcing the server to stop transmitting.",4,3,,,,,
No Agent,Chapter 9.2,"What is the initial buffering delay in HTTP streaming, and how is it determined?","The initial buffering delay is the time required to build up Q bits in the application buffer, and it is determined by tp = Q/x, where x is the server send rate.",2,3,,,,,
